simulation,y,ymin,ymax,.width,.point,.interval,divs,rhat,p_true
719,0.4225788439588274,0.40345524702699126,0.44253361314814366,0.8,mean,qi,0,TRUE,0.42479938245378435
720,0.358126588869235,0.33816104569807826,0.37850319438716234,0.8,mean,qi,0,TRUE,0.34924244531430304
721,0.914671288660423,0.9002217065697269,0.9293729666336183,0.8,mean,qi,0,TRUE,0.9283393695950508
722,0.8593319633649402,0.8398093594359496,0.8786196734414878,0.8,mean,qi,0,TRUE,0.8596820605453104
723,0.32836785246877237,0.3086566583052803,0.3488790813749476,0.8,mean,qi,0,TRUE,0.34415971441194415
724,0.07420129303391873,0.06250567565631272,0.08678826407188817,0.8,mean,qi,0,TRUE,0.06975510739721358
725,0.6030041968014906,0.5828062994819783,0.6225379712875954,0.8,mean,qi,0,TRUE,0.6271699424833059
726,0.6602714439054823,0.639080005884423,0.6805732928030488,0.8,mean,qi,0,TRUE,0.6447393023408949
727,0.2394376918773029,0.2223055858603835,0.25673641628180904,0.8,mean,qi,0,TRUE,0.22812254051677883
728,0.08273043066998875,0.0714492985495527,0.09444817036140206,0.8,mean,qi,0,TRUE,0.08757486194372177
729,0.29412551047472574,0.2753256900659946,0.31354530707341616,0.8,mean,qi,0,TRUE,0.2826836914755404
730,0.47286712678098125,0.45207984421898284,0.4943414321470829,0.8,mean,qi,0,TRUE,0.4458393764216453
731,0.8175926565253829,0.7991705740740963,0.836139598164761,0.8,mean,qi,0,TRUE,0.8388873061630875
732,0.062266037681645806,0.051252544950089046,0.0737975572986002,0.8,mean,qi,0,TRUE,0.06490522623062134
733,0.6920899022649357,0.6728593030711862,0.710178864815115,0.8,mean,qi,0,TRUE,0.6771953583229333
734,0.08656038122010484,0.07404141511432882,0.09931482024930428,0.8,mean,qi,0,TRUE,0.08256570645608008
735,0.49202474370241306,0.4678065787593224,0.5162105095303777,0.8,mean,qi,0,TRUE,0.46546034305356443
736,0.29448827649090403,0.27674018840514925,0.3125936556918695,0.8,mean,qi,0,TRUE,0.300788821419701
737,0.3551189471487618,0.33481859195270414,0.37570763708550453,0.8,mean,qi,0,TRUE,0.3803185762371868
738,0.7698611229717537,0.7529105326341587,0.786223712439826,0.8,mean,qi,0,TRUE,0.777805105317384
739,0.5644022074816238,0.5438489144201926,0.5845903738133374,0.8,mean,qi,0,TRUE,0.5823456028010696
740,0.8272843618753335,0.8087102540029236,0.8455513056934545,0.8,mean,qi,0,TRUE,0.8297371887601912
741,0.4208087607075796,0.3990902919858485,0.4427284339729291,0.8,mean,qi,0,TRUE,0.41590252611786127
742,0.19544932656037844,0.17943099710618624,0.21168556517158563,0.8,mean,qi,0,TRUE,0.19593267887830734
743,0.4424902675302199,0.42137120086451174,0.463849224811756,0.8,mean,qi,0,TRUE,0.4450611600186676
744,0.16606064394594294,0.15115869571792423,0.18080636222708155,0.8,mean,qi,0,TRUE,0.1686697476543486
745,0.7849428050678854,0.7650849175736741,0.8049694920544371,0.8,mean,qi,0,TRUE,0.7830587218049914
746,0.818360434287844,0.802164434043855,0.8338303529463517,0.8,mean,qi,0,TRUE,0.7945950548164546
747,0.03628166905870444,0.026815915808590645,0.046296362756658486,0.8,mean,qi,0,TRUE,0.032155869994312525
748,0.7274128463266022,0.7073341432260015,0.7468372373284387,0.8,mean,qi,0,TRUE,0.7252778741531074
749,0.26725909860286573,0.250358776164787,0.2846714804785301,0.8,mean,qi,0,TRUE,0.2596405502408743
750,0.044163127166081485,0.036648643705099744,0.05198617904676938,0.8,mean,qi,0,TRUE,0.061755585484206676
751,0.12376729296482727,0.11213268264883552,0.13571232933432176,0.8,mean,qi,0,TRUE,0.12161844689399004
752,0.9792937315726661,0.9641158631153013,0.9938354614850924,0.8,mean,qi,0,TRUE,0.9755450189113617
753,0.6691498792206277,0.6480505696856567,0.6901192425661564,0.8,mean,qi,0,TRUE,0.6668714222032577
754,0.37910944976246397,0.3593610778706256,0.3989618566925158,0.8,mean,qi,0,TRUE,0.3866847043391317
755,0.7348456817466901,0.7136047981644957,0.7552739283651821,0.8,mean,qi,0,TRUE,0.7287109347525984
756,0.22134556719174064,0.205086971647563,0.23799835757823626,0.8,mean,qi,0,TRUE,0.21766775008291006
757,0.6971181974754957,0.6768248344344646,0.7168093290525586,0.8,mean,qi,0,TRUE,0.7183245897758752
758,0.8821257842170688,0.8621673550031038,0.9011661806704694,0.8,mean,qi,0,TRUE,0.8929220496211201
759,0.07315284596880506,0.06086934219059416,0.08552507871548463,0.8,mean,qi,0,TRUE,0.07035499718040228
760,0.7062709577106235,0.6910950555719186,0.721171025661767,0.8,mean,qi,0,TRUE,0.7085649983491749
761,0.3455389437454442,0.32548129061755554,0.3662311949199282,0.8,mean,qi,0,TRUE,0.36181619949638844
762,0.45665797838526295,0.433538707431184,0.48004906984141354,0.8,mean,qi,0,TRUE,0.4139282994437963
763,0.3361812524373064,0.3170848911378342,0.35579962897556533,0.8,mean,qi,0,TRUE,0.32303882855921984
764,0.40550206616999496,0.38437798595121997,0.42735429985333917,0.8,mean,qi,0,TRUE,0.41465138061903417
765,0.16876291564914192,0.15388036739998978,0.18403576632289181,0.8,mean,qi,0,TRUE,0.1606474365107715
766,0.9790228128981662,0.9677781673267728,0.9899784243335209,0.8,mean,qi,0,TRUE,0.9763372570741922
767,0.969653053459776,0.9571422124328545,0.9824228966730932,0.8,mean,qi,0,TRUE,0.9476559504400939
768,0.007713998867968768,0.002515664850885475,0.013274946172791124,0.8,mean,qi,0,TRUE,0.007252187002450228
769,0.6619284344498968,0.6403455976159055,0.683527377096154,0.8,mean,qi,0,TRUE,0.6412141928449273
770,0.12977800073920476,0.11560438251951731,0.1441263036306312,0.8,mean,qi,0,TRUE,0.11842574761249125
771,0.5554471031417757,0.5325407535935964,0.5785673099251236,0.8,mean,qi,0,TRUE,0.556611834326759
772,0.1761571162652116,0.16061215806124718,0.19214210526989725,0.8,mean,qi,0,TRUE,0.19047395465895534
773,0.2178636607382593,0.20076655575163965,0.23581059498578325,0.8,mean,qi,0,TRUE,0.23661660915240645
774,0.2359736456772373,0.21820009947854296,0.25347521693566133,0.8,mean,qi,0,TRUE,0.2822681865654886
775,0.9928862457238383,0.9845731932048583,0.9990457855829453,0.8,mean,qi,1,TRUE,0.9989355630241334
776,0.11021603335328288,0.09717227828665782,0.12350753827149155,0.8,mean,qi,0,TRUE,0.11670643975958228
777,0.8000869895466312,0.7810829338094042,0.8190848202111983,0.8,mean,qi,0,TRUE,0.7553066299296916
778,0.6879275739725615,0.6673123019482846,0.7087883608551249,0.8,mean,qi,0,TRUE,0.6982493998948485
779,0.46041893257445166,0.4388177904906335,0.48252371891747486,0.8,mean,qi,0,TRUE,0.4694027076475322
780,0.0036171651618172006,6.766549925229891e-4,0.007119542089200644,0.8,mean,qi,0,TRUE,0.004691641544923186
781,0.333863682724142,0.31400676923395965,0.35328286251452634,0.8,mean,qi,0,TRUE,0.3278329484164715
782,0.9957937641480362,0.9908895168512987,0.9994633362728332,0.8,mean,qi,0,TRUE,0.9959212122485042
783,0.804004850931361,0.7867557652582671,0.8216414916580304,0.8,mean,qi,0,TRUE,0.8049131536390632
784,0.6015602643449448,0.577199588938151,0.6256921906604511,0.8,mean,qi,0,TRUE,0.5810074985492975
785,0.7362259383364006,0.7186203540675961,0.7543081134217778,0.8,mean,qi,0,TRUE,0.7163577130995691
786,0.20975752143733492,0.1938286495171313,0.2257023027823603,0.8,mean,qi,0,TRUE,0.20474593830294907
787,0.4865188247326054,0.4645742675263156,0.5079932801306642,0.8,mean,qi,0,TRUE,0.5067732841707766
788,0.08197776175126584,0.0707748612410939,0.09367765121846638,0.8,mean,qi,0,TRUE,0.07530568982474506
789,0.5187404434194615,0.49750195408784825,0.5398417495251915,0.8,mean,qi,0,TRUE,0.5131614455021918
790,0.8706335755380796,0.8558100958731674,0.8857710658715074,0.8,mean,qi,0,TRUE,0.8575693550519645
791,0.2908217376620352,0.2719547848223986,0.31079065875638323,0.8,mean,qi,0,TRUE,0.2889115335419774
792,0.11205261301960051,0.09867646244520929,0.12598886798878262,0.8,mean,qi,0,TRUE,0.09760356065817177
793,0.019104986465004165,0.013072493773939022,0.02556535389781759,0.8,mean,qi,0,TRUE,0.01625933637842536
794,0.7015503456936601,0.682465009646774,0.7205576025508863,0.8,mean,qi,0,TRUE,0.7000643124338239
795,0.5047128444930269,0.4833063456503248,0.5265297625450469,0.8,mean,qi,0,TRUE,0.49533861759118736
796,0.646723558326396,0.6242148475788096,0.6690827122007326,0.8,mean,qi,0,TRUE,0.6556843977887183
797,0.9881487454066086,0.9775844032220571,0.9974118275643374,0.8,mean,qi,0,TRUE,0.9790768439415842
798,0.4960374315187837,0.4743843755823633,0.5176077964126781,0.8,mean,qi,0,TRUE,0.4960243555251509
799,0.061022541559235026,0.04927576535769924,0.072833818100091,0.8,mean,qi,0,TRUE,0.05541315977461636
800,0.915638419497126,0.9006221421134042,0.9311284075525422,0.8,mean,qi,0,TRUE,0.9080944207962602
801,0.9346385691190369,0.9207741700393242,0.9485800706927336,0.8,mean,qi,0,TRUE,0.9373512482270598
802,0.7593682614411387,0.738970423167395,0.7796970430835954,0.8,mean,qi,0,TRUE,0.7507781719323248
803,0.5531355238222581,0.5313434857706201,0.5753825102248122,0.8,mean,qi,0,TRUE,0.5318340384401381
804,0.5543360195918474,0.5329107605421147,0.5762766014267529,0.8,mean,qi,0,TRUE,0.5330721244681627
